lab_x,lab_z,strain_xx,strain_yy,strain_xy,strain_error_xx,strain_error_yy,strain_error_xy
17.707355,-13.358114,-0.000499479261367423,0.0002885392720302838,4.771847566437189e-05,0.00019118019067291476,0.00020936665986429705,0.0001891485277704768
17.707355,-11.94943,-7.983529327117949e-05,0.0003868173013550176,-0.00011363321162278908,0.00018269070869366785,0.00020006959577167978,0.00018074926311788256
17.707355,-10.540746,-0.00038181005631180765,0.00038438686921514313,0.00017051782265004896,0.00015684790754516383,0.0001717684368549534,0.0001551810922022262
17.707355,-9.1320618,-0.00027103011625364984,0.00023756842932843284,0.00016158303955445216,0.0001555330935530394,0.0001703285480627405,0.00015388025067662446
17.707355,-7.7236318,-0.00021252847409583572,9.823242564877478e-05,-6.266087981909514e-05,0.00011255213197671905,0.00012325892054873452,0.00011135604575945902
17.707355,-6.3149478,-0.00040656047944939553,0.0003870936839789696,-8.201285508521898e-05,0.00021094897911525684,0.00023101600120675305,0.00020870723422779014
17.707355,-4.9062639,-0.00014502543797892953,7.947203737589517e-05,0.0001704336621112624,9.390534138009955e-05,0.00010283830975892651,9.290741373007683e-05
17.707355,-3.4975799,0.0005181935696965752,-0.00024784283087389325,-0.00039643124455483286,0.00033675719705873573,0.0003687920243483302,0.00033317849415025555
17.707355,-2.08915,7.018247952943352e-06,4.819781681017832e-05,0.00011959862817074966,8.973963542124346e-05,9.827633113813996e-05,8.878597653262764e-05
17.707355,-0.68046602,-7.450062434144808e-05,7.830436830913718e-05,0.00010357134924531194,5.7046644647187894e-05,6.247334205613874e-05,5.6440412635298206e-05
17.707355,0.72821793,2.047851022100558e-05,-0.00012575634092211634,0.0001851784286430586,6.390250343734335e-05,6.998138067847265e-05,6.322341453618287e-05
17.707355,2.1369019,1.183693335609559e-06,-0.00010182213856315543,0.0001162133291022593,0.0001088867747893647,0.00011924488756307193,0.00010772964015058793
17.707355,3.5453318,0.00014748800140640202,-9.80606206647186e-05,0.0001680220676212007,0.00012103485167133138,0.00013254857907858347,0.00011974861999050954
17.707355,4.9540158,0.00025500987592971656,-0.0002891043629075079,0.00012854075829495093,8.71988037058073e-05,9.549379677793115e-05,8.627214611665808e-05
17.707355,6.3626998,0.00034138214817610425,-0.00016725512650192091,3.440219392964778e-05,0.00011179603693818985,0.0001224309001758806,0.00011060798570742411
17.707355,7.7713837,0.00038089102966427213,-1.2822413732297117e-05,0.00017980854542590921,0.000109900992947285,0.00012035558562939492,0.00010873308025998939
17.707355,9.1798137,0.0005759187626535274,-0.000281328225610011,0.00020698849093772742,7.694731744946778e-05,8.42671135709874e-05,7.61296019229614e-05
17.707355,10.588498,-0.0015965896768860932,-0.0007842569811246365,-0.0011590304718152832,0.001632947780706844,0.001788285812328504,0.0016155945213856492
15.643555,-30.261559,-0.0006601730671134419,0.0008076684191066722,-0.0008707445221674603,0.0017621025623845992,0.0019297267490324724,0.0017433767812611496
15.643555,-28.852875,-0.0008637026213770072,0.0005739250911536854,-0.0009947522523784315,0.001659273933255694,0.0018171163026254834,0.001641640907168272
15.643555,-27.444191,-0.00022242829844895903,5.791017794633507e-05,-0.0017889570945878298,0.0015535864023771275,0.0017013749946059322,0.001537076512684351
15.643555,-26.035507,0.0007879111611665202,1.3511296235130186e-05,0.00026241823768022077,0.00013938289778241554,0.00015264202660489554,0.0001379016822779544
15.643555,-24.627077,0.0012493896798148666,-0.0003216001411890027,-3.345831858799322e-05,0.0003221002465433481,0.0003527407966438182,0.00031867730236099774
15.643555,-23.218393,0.0007476913921201258,0.00018036693283148838,-6.131676777352239e-05,0.00011159290972589584,0.00012220845000559256,0.00011040701711860508
15.643555,-21.809709,0.0008722530983390954,-0.0004100352083806151,9.972682088793762e-05,0.00017202639929818762,0.00018839081864498576,0.0001701982828367446
15.643555,-20.401025,0.0008577326805256366,0.00015955470534741184,2.8699092435912854e-05,0.00025329988962935,0.0002773956425565991,0.0002506080836058682
15.643555,-18.992595,0.0006666162455800571,-0.00017561281260900505,0.00019392942246219047,0.00016948915866760777,0.00018561221698064052,0.00016768800534361694
15.643555,-17.583911,0.000492207455804722,-0.00035186157077752824,0.000253919996931632,9.172952306831592e-05,0.00010045551156852108,9.07547177373647e-05
15.643555,-16.175228,0.00023423828626355374,-1.4102016063951135e-05,1.4402530379680496e-05,0.00022846252351213395,0.0002501955630630687,0.00022603466301045262
15.643555,-14.766544,0.00016114328117262567,0.0001967940379804731,-0.0002384834415176481,0.00020781730625741445,0.00022758642053889095,0.00020560884150967867
15.643555,-13.358114,1.7235979606824e-06,0.00026946110384580395,0.0001084035279151031,0.00018249363334049882,0.00019985377315813013,0.0001805542820748163
15.643555,-11.94943,-5.200646835468468e-05,6.702326351133315e-05,0.0001392840769027823,0.00016111177242294326,0.0001764379119945564,0.00015939964518842437
15.643555,-10.540746,-0.00026480945685722584,0.00019068571921915532,-6.86966886316677e-05,7.334080704251307e-05,8.031752530543442e-05,7.256141773252647e-05
15.643555,-9.1320618,-0.00043025460931023766,0.0007389537159576541,-0.00023881975357653175,0.0002887144522066769,0.00031617909941708853,0.00028564629729050566
15.643555,-7.7236318,-0.0002950729092487205,3.8078410191001313e-05,-9.905555556111414e-05,7.1071225229532e-05,7.783204413826013e-05,7.031595465889796e-05
15.643555,-6.3149478,-0.0004134069414717989,0.0004458077739636807,-0.00013702327770447357,0.00021810116201088334,0.00023884855246817004,0.0002157834112116996
15.643555,-4.9062639,-8.131482752555709e-05,2.2920271431110008e-05,0.0001861920609834854,0.00010562184565077557,0.00011566937429447907,0.00010449940726037559
15.643555,-3.4975799,-0.00019999283862032446,0.00014664778241864828,9.583207732799035e-05,7.816275493270188e-05,8.559817242824261e-05,7.733212300917211e-05
15.643555,-2.08915,-5.7299851727618455e-05,8.427980104059317e-05,0.00022402946424013087,7.602639985077275e-05,8.325859150083724e-05,7.521847087222954e-05
15.643555,-0.68046602,-4.427692291755585e-05,0.00024600651411300407,0.00015952892792143764,9.408452860584936e-05,0.00010303454259486309,9.308469674166932e-05
15.643555,0.72821793,5.539348824564494e-05,9.362756384882167e-05,4.5541467902083754e-05,0.0001524951137528531,0.00016700157322647636,0.00015087455534511002
15.643555,2.1369019,8.392680510159966e-05,-0.00019254689958231671,0.00010861585347994823,6.796967349339547e-05,7.443544993497586e-05,6.724736296713033e-05
15.643555,3.5453318,0.0001345271656156227,-2.5409331364680304e-05,0.00010903151233430472,6.984145120880415e-05,7.648528494614038e-05,6.909924938877998e-05
15.643555,4.9540158,0.00031664528293619005,-0.00021190846369004883,0.00013887592212977616,0.00011569474162887876,0.00012670047839910195,0.00011446525904642836
15.643555,6.3626998,0.00022504870552875978,0.0004532216621878641,-0.00013214975010934223,0.0002293294917790213,0.0002511450037423768,0.00022689241804634176
15.643555,7.7713837,0.0005903398804713113,0.00030649626654143775,0.0007602757022025975,0.0003791398679649646,0.0004152064473726557,0.00037511076640427615
15.643555,9.1798137,0.0008492201864169032,-0.0002929349087756036,0.00011289417397556797,0.00022021944604322892,0.00024116834329471288,0.00021787918433938025
15.643555,10.588498,-0.0008451971520628201,-0.002459998808200437,0.0017269354632320035,0.0014381734598596912,0.0015749831221136242,0.0014228900580658366
13.579754,-30.261559,-0.0003622657614248391,0.0004556553529546436,0.0011766139900102,0.0006305722306901114,0.0006905569101005337,0.0006238711692305071
13.579754,-28.852875,0.0014789000140660751,0.001251923387358521,0.0009495364137716655,0.001292201627417045,0.001415125372807553,0.001278469461444097
13.579754,-27.444191,0.0005327680480258398,2.306707611612389e-06,9.912595524892774e-05,0.0003334427964207438,0.0003651623334872962,0.0003298993154930708
13.579754,-26.035507,0.0009113725072087538,-0.00033982151439923965,0.00015398632742585826,0.00016823274043496257,0.0001842362789827865,0.000166444939007673
13.579754,-24.627077,0.0008128016144772236,4.244953242242611e-06,-0.00022584591629221963,0.00047149565220067476,0.0005163477946853194,0.00046648509006230645
13.579754,-23.218393,0.0007837466893769523,0.0007225116851574115,-0.00014603024281209734,0.0002354710914860876,0.00025787083769306096,0.0002329687512615204
13.579754,-21.809709,0.0007035016097840394,-0.0007288240653073653,1.0223358860377597e-05,0.0003402856874857937,0.0003726561707996439,0.00033666948747458506
13.579754,-20.401025,0.000873926462944496,-2.5653259270438045e-05,-0.0003376382307987079,0.0003094579775577395,0.00033889590182784057,0.000306169382172495
13.579754,-18.992595,0.00056023629759102,-0.00026206757497141016,0.00010223391245891509,0.00029508858649569526,0.00032315958835169034,0.00029195269395375595
13.579754,-17.583911,0.0008974114526223451,-9.238116913856011e-05,-0.00029291864552825366,0.00014305517604759908,0.0001566636390521619,0.0001415349354148183
13.579754,-16.175228,0.0003409198049294722,-7.778957430532722e-05,-1.2653151560484809e-06,6.231029311526e-05,6.823770757210211e-05,6.164812455834456e-05
13.579754,-14.766544,2.141843061024278e-05,-0.0002874834274454232,0.00017914445283718374,0.00018126244731546848,0.00019850546764150427,0.00017933617980592923
13.579754,-13.358114,0.00010331380555271841,-0.0002665145599684962,-5.4527148254476114e-05,9.872215456167349e-05,0.0001081133337219153,9.76730388643667e-05
13.579754,-11.94943,2.7160381528820084e-05,0.00033936106957350846,-0.0003179500178893133,0.00024254220115881353,0.00026561460344944954,0.0002399647165857893
13.579754,-10.540746,-4.3739829182422806e-05,0.00018483701288829086,-4.856736787102171e-05,0.00010323936142765486,0.00011306025060745627,0.00010214224158521873
13.579754,-9.1320618,-0.00017980112573815003,0.00011829064255647337,4.256333445847819e-05,3.7564967646048366e-05,4.113842431210967e-05,3.716576650014791e-05
13.579754,-7.7236318,-0.00014942189722806363,0.00044559787880403003,-0.00023086017735614832,0.00019917572536879785,0.00021812278876648337,0.00019705909429538115
13.579754,-6.3149478,-0.00022942531588151632,-0.00035040645765993446,-1.3394906332749308e-05,0.0001781203153628891,0.00019506443293227507,0.00017622743914219572
13.579754,-4.9062639,-7.44120815642203e-05,9.318970041592044e-05,6.915882809865183e-05,5.749579442484879e-05,6.296521827191007e-05,5.6884789319355766e-05
13.579754,-3.4975799,0.000256060207077218,0.00018246220517274437,0.00014774137677745297,0.00024297691165392227,0.0002660906668106824,0.00024039480743186795
13.579754,-2.08915,5.685875113420444e-05,-0.00013700915979763533,3.982124627992354e-05,8.518585658010468e-05,9.328936328139258e-05,8.428059048525679e-05
