lab_x,lab_z,dial_x,dial_z
3.260750,-3.497580,19.630375,25.502420
3.260750,-2.089150,19.630375,26.910850
3.260750,-0.680466,19.630375,28.319534
3.260750,0.728218,19.630375,29.728218
3.260750,2.136902,19.630375,31.136902
3.260750,3.545332,19.630375,32.545332
3.260750,4.954016,19.630375,33.954016
3.260750,6.362700,19.630375,35.362700
3.260750,7.771384,19.630375,36.771384
3.260750,9.179814,19.630375,38.179814
3.260750,10.588498,19.630375,39.588498
1.196950,-30.261559,18.598475,-1.261559
1.196950,-28.852875,18.598475,0.147125
1.196950,-27.444191,18.598475,1.555809
1.196950,-26.035507,18.598475,2.964493
1.196950,-24.627077,18.598475,4.372923
1.196950,-23.218393,18.598475,5.781607
1.196950,-21.809709,18.598475,7.190291
1.196950,-20.401025,18.598475,8.598975
1.196950,-18.992595,18.598475,10.007405
1.196950,-17.583911,18.598475,11.416089
1.196950,-16.175228,18.598475,12.824772
1.196950,-14.766544,18.598475,14.233456
1.196950,-13.358114,18.598475,15.641886
1.196950,-11.949430,18.598475,17.050570
1.196950,-10.540746,18.598475,18.459254
1.196950,-9.132062,18.598475,19.867938
1.196950,-7.723632,18.598475,21.276368
1.196950,-6.314948,18.598475,22.685052
1.196950,-4.906264,18.598475,24.093736
1.196950,-3.497580,18.598475,25.502420
1.196950,-2.089150,18.598475,26.910850
1.196950,-0.680466,18.598475,28.319534
1.196950,0.728218,18.598475,29.728218
1.196950,2.136902,18.598475,31.136902
1.196950,3.545332,18.598475,32.545332
1.196950,4.954016,18.598475,33.954016
1.196950,6.362700,18.598475,35.362700
1.196950,7.771384,18.598475,36.771384
1.196950,9.179814,18.598475,38.179814
1.196950,10.588498,18.598475,39.588498
-0.866851,-30.261559,17.566574,-1.261559
-0.866851,-28.852875,17.566574,0.147125
-0.866851,-27.444191,17.566574,1.555809
-0.866851,-26.035507,17.566574,2.964493
-0.866851,-24.627077,17.566574,4.372923
-0.866851,-23.218393,17.566574,5.781607
-0.866851,-21.809709,17.566574,7.190291
-0.866851,-20.401025,17.566574,8.598975
-0.866851,-18.992595,17.566574,10.007405
-0.866851,-17.583911,17.566574,11.416089
-0.866851,-16.175228,17.566574,12.824772
-0.866851,-14.766544,17.566574,14.233456
-0.866851,-13.358114,17.566574,15.641886
-0.866851,-11.949430,17.566574,17.050570
-0.866851,-10.540746,17.566574,18.459254
-0.866851,-9.132062,17.566574,19.867938
-0.866851,-7.723632,17.566574,21.276368
-0.866851,-6.314948,17.566574,22.685052
-0.866851,-4.906264,17.566574,24.093736
-0.866851,-3.497580,17.566574,25.502420
-0.866851,-2.089150,17.566574,26.910850
-0.866851,-0.680466,17.566574,28.319534
-0.866851,0.728218,17.566574,29.728218
-0.866851,2.136902,17.566574,31.136902
-0.866851,3.545332,17.566574,32.545332
-0.866851,4.954016,17.566574,33.954016
-0.866851,6.362700,17.566574,35.362700
-0.866851,7.771384,17.566574,36.771384
-0.866851,9.179814,17.566574,38.179814
-0.866851,10.588498,17.566574,39.588498
-2.930652,-30.261559,16.534674,-1.261559
-2.930652,-28.852875,16.534674,0.147125
-2.930652,-27.444191,16.534674,1.555809
-2.930652,-26.035507,16.534674,2.964493
-2.930652,-24.627077,16.534674,4.372923
-2.930652,-23.218393,16.534674,5.781607
-2.930652,-21.809709,16.534674,7.190291
-2.930652,-20.401025,16.534674,8.598975
-2.930652,-18.992595,16.534674,10.007405
-2.930652,-17.583911,16.534674,11.416089
-2.930652,-16.175228,16.534674,12.824772
-2.930652,-14.766544,16.534674,14.233456
-2.930652,-13.358114,16.534674,15.641886
-2.930652,-11.949430,16.534674,17.050570
-2.930652,-10.540746,16.534674,18.459254
-2.930652,-9.132062,16.534674,19.867938
-2.930652,-7.723632,16.534674,21.276368
-2.930652,-6.314948,16.534674,22.685052
-2.930652,-4.906264,16.534674,24.093736
-2.930652,-3.497580,16.534674,25.502420
-2.930652,-2.089150,16.534674,26.910850
-2.930652,-0.680466,16.534674,28.319534
-2.930652,0.728218,16.534674,29.728218
-2.930652,2.136902,16.534674,31.136902
-2.930652,3.545332,16.534674,32.545332
-2.930652,4.954016,16.534674,33.954016
-2.930652,6.362700,16.534674,35.362700
-2.930652,7.771384,16.534674,36.771384
-2.930652,9.179814,16.534674,38.179814
-2.930652,10.588498,16.534674,39.588498
-4.994453,-30.261559,15.502774,-1.261559
-4.994453,-28.852875,15.502774,0.147125
-4.994453,-27.444191,15.502774,1.555809
-4.994453,-26.035507,15.502774,2.964493
-4.994453,-24.627077,15.502774,4.372923
-4.994453,-23.218393,15.502774,5.781607
-4.994453,-21.809709,15.502774,7.190291
-4.994453,-20.401025,15.502774,8.598975
-4.994453,-18.992595,15.502774,10.007405
-4.994453,-17.583911,15.502774,11.416089
-4.994453,-16.175228,15.502774,12.824772
-4.994453,-14.766544,15.502774,14.233456
-4.994453,-13.358114,15.502774,15.641886
-4.994453,-11.949430,15.502774,17.050570
-4.994453,-10.540746,15.502774,18.459254
-4.994453,-9.132062,15.502774,19.867938
-4.994453,-7.723632,15.502774,21.276368
-4.994453,-6.314948,15.502774,22.685052
-4.994453,-4.906264,15.502774,24.093736
-4.994453,-3.497580,15.502774,25.502420
-4.994453,-2.089150,15.502774,26.910850
-4.994453,-0.680466,15.502774,28.319534
-4.994453,0.728218,15.502774,29.728218
-4.994453,2.136902,15.502774,31.136902
-4.994453,3.545332,15.502774,32.545332
-4.994453,4.954016,15.502774,33.954016
-4.994453,6.362700,15.502774,35.362700
-4.994453,7.771384,15.502774,36.771384
-4.994453,9.179814,15.502774,38.179814
-4.994453,10.588498,15.502774,39.588498
-7.057949,-30.261559,14.471026,-1.261559
-7.057949,-28.852875,14.471026,0.147125
-7.057949,-27.444191,14.471026,1.555809
-7.057949,-26.035507,14.471026,2.964493
-7.057949,-24.627077,14.471026,4.372923
-7.057949,-23.218393,14.471026,5.781607
-7.057949,-21.809709,14.471026,7.190291
-7.057949,-20.401025,14.471026,8.598975
-7.057949,-18.992595,14.471026,10.007405
-7.057949,-17.583911,14.471026,11.416089
-7.057949,-16.175228,14.471026,12.824772
-7.057949,-14.766544,14.471026,14.233456
-7.057949,-13.358114,14.471026,15.641886
-7.057949,-11.949430,14.471026,17.050570
-7.057949,-10.540746,14.471026,18.459254
-7.057949,-9.132062,14.471026,19.867938
-7.057949,-7.723632,14.471026,21.276368
-7.057949,-6.314948,14.471026,22.685052
-7.057949,-4.906264,14.471026,24.093736
-7.057949,-3.497580,14.471026,25.502420
-7.057949,-2.089150,14.471026,26.910850
-7.057949,-0.680466,14.471026,28.319534
-7.057949,0.728218,14.471026,29.728218
-7.057949,2.136902,14.471026,31.136902
-7.057949,3.545332,14.471026,32.545332
-7.057949,4.954016,14.471026,33.954016
-7.057949,6.362700,14.471026,35.362700
-7.057949,7.771384,14.471026,36.771384
-7.057949,9.179814,14.471026,38.179814
-7.057949,10.588498,14.471026,39.588498
-9.121749,-30.261559,13.439125,-1.261559
-9.121749,-28.852875,13.439125,0.147125
-9.121749,-27.444191,13.439125,1.555809
-9.121749,-26.035507,13.439125,2.964493
-9.121749,-24.627077,13.439125,4.372923
-9.121749,-23.218393,13.439125,5.781607
-9.121749,-21.809709,13.439125,7.190291
-9.121749,-20.401025,13.439125,8.598975
-9.121749,-18.992595,13.439125,10.007405
-9.121749,-17.583911,13.439125,11.416089
-9.121749,-16.175228,13.439125,12.824772
-9.121749,-14.766544,13.439125,14.233456
-9.121749,-13.358114,13.439125,15.641886
-9.121749,-11.949430,13.439125,17.050570
-9.121749,-10.540746,13.439125,18.459254
-9.121749,-9.132062,13.439125,19.867938
-9.121749,-7.723632,13.439125,21.276368
-9.121749,-6.314948,13.439125,22.685052
-9.121749,-4.906264,13.439125,24.093736
-9.121749,-3.497580,13.439125,25.502420
-9.121749,-2.089150,13.439125,26.910850
-9.121749,-0.680466,13.439125,28.319534
-9.121749,0.728218,13.439125,29.728218
-9.121749,2.136902,13.439125,31.136902
-9.121749,3.545332,13.439125,32.545332
-9.121749,4.954016,13.439125,33.954016
-9.121749,6.362700,13.439125,35.362700
-9.121749,7.771384,13.439125,36.771384
-9.121749,9.179814,13.439125,38.179814
-9.121749,10.588498,13.439125,39.588498
-11.185550,-30.261559,12.407225,-1.261559
-11.185550,-28.852875,12.407225,0.147125
-11.185550,-27.444191,12.407225,1.555809
-11.185550,-26.035507,12.407225,2.964493
-11.185550,-24.627077,12.407225,4.372923
-11.185550,-23.218393,12.407225,5.781607
-11.185550,-21.809709,12.407225,7.190291
-11.185550,-20.401025,12.407225,8.598975
-11.185550,-18.992595,12.407225,10.007405
-11.185550,-17.583911,12.407225,11.416089
-11.185550,-16.175228,12.407225,12.824772
-11.185550,-14.766544,12.407225,14.233456
-11.185550,-13.358114,12.407225,15.641886
-11.185550,-11.949430,12.407225,17.050570
-11.185550,-10.540746,12.407225,18.459254
-11.185550,-9.132062,12.407225,19.867938
-11.185550,-7.723632,12.407225,21.276368
-11.185550,-6.314948,12.407225,22.685052
-11.185550,-4.906264,12.407225,24.093736
-11.185550,-3.497580,12.407225,25.502420
-11.185550,-2.089150,12.407225,26.910850
-11.185550,-0.680466,12.407225,28.319534
-11.185550,0.728218,12.407225,29.728218
-11.185550,2.136902,12.407225,31.136902
-11.185550,3.545332,12.407225,32.545332
-11.185550,4.954016,12.407225,33.954016
-11.185550,6.362700,12.407225,35.362700
-11.185550,7.771384,12.407225,36.771384
-11.185550,9.179814,12.407225,38.179814
-11.185550,10.588498,12.407225,39.588498
-13.249351,-30.261559,11.375324,-1.261559
-13.249351,-28.852875,11.375324,0.147125
-13.249351,-27.444191,11.375324,1.555809
-13.249351,-26.035507,11.375324,2.964493
-13.249351,-24.627077,11.375324,4.372923
-13.249351,-23.218393,11.375324,5.781607
-13.249351,-21.809709,11.375324,7.190291
-13.249351,-20.401025,11.375324,8.598975
-13.249351,-18.992595,11.375324,10.007405
-13.249351,-17.583911,11.375324,11.416089
-13.249351,-16.175228,11.375324,12.824772
-13.249351,-14.766544,11.375324,14.233456
-13.249351,-13.358114,11.375324,15.641886
-13.249351,-11.949430,11.375324,17.050570
-13.249351,-10.540746,11.375324,18.459254
-13.249351,-9.132062,11.375324,19.867938
-13.249351,-7.723632,11.375324,21.276368
-13.249351,-6.314948,11.375324,22.685052
-13.249351,-4.906264,11.375324,24.093736
-13.249351,-3.497580,11.375324,25.502420
-13.249351,-2.089150,11.375324,26.910850
-13.249351,-0.680466,11.375324,28.319534
-13.249351,0.728218,11.375324,29.728218
-13.249351,2.136902,11.375324,31.136902
-13.249351,3.545332,11.375324,32.545332
-13.249351,4.954016,11.375324,33.954016
-13.249351,6.362700,11.375324,35.362700
-13.249351,7.771384,11.375324,36.771384
-13.249351,9.179814,11.375324,38.179814
-13.249351,10.588498,11.375324,39.588498
-15.313152,-30.261559,10.343424,-1.261559
-15.313152,-28.852875,10.343424,0.147125
-15.313152,-27.444191,10.343424,1.555809
-15.313152,-26.035507,10.343424,2.964493
-15.313152,-24.627077,10.343424,4.372923
-15.313152,-23.218393,10.343424,5.781607
-15.313152,-21.809709,10.343424,7.190291
-15.313152,-20.401025,10.343424,8.598975
-15.313152,-18.992595,10.343424,10.007405
-15.313152,-17.583911,10.343424,11.416089
-15.313152,-16.175228,10.343424,12.824772
-15.313152,-14.766544,10.343424,14.233456
-15.313152,-13.358114,10.343424,15.641886
-15.313152,-11.949430,10.343424,17.050570
